YR-MON,Silver,Silver-1,Silver-2,Silver-3,Silver-4,Silver-5,Silver-6,Copper,Copper-1,Copper-2,Copper-3,Copper-4,Copper-5,Copper-6,Steel,Steel-1,Steel-2,Steel-3,Steel-4,Steel-5,Steel-6,PriceIncrDate
2012-Mar,-0.035,0.11,0.012,-0.081,0.035,-0.162,-0.053,-0.002,0.048,0.069,-0.003,0.029,-0.107,-0.081,-0.002,-0.011,0.017,0.013,-0.025,-0.007,0.002,0
2012-Apr,-0.043,-0.035,0.11,0.012,-0.081,0.035,-0.162,-0.032,-0.002,0.048,0.069,-0.003,0.029,-0.107,-0.004,-0.002,-0.011,0.017,0.013,-0.025,-0.007,0
2012-May,-0.091,-0.043,-0.035,0.11,0.012,-0.081,0.035,-0.041,-0.032,-0.002,0.048,0.069,-0.003,0.029,-0.007,-0.004,-0.002,-0.011,0.017,0.013,-0.025,0
2012-Jun,-0.022,-0.091,-0.043,-0.035,0.11,0.012,-0.081,-0.062,-0.041,-0.032,-0.002,0.048,0.069,-0.003,-0.046,-0.007,-0.004,-0.002,-0.011,0.017,0.013,0
2012-Jul,-0.022,-0.022,-0.091,-0.043,-0.035,0.11,0.012,0.028,-0.062,-0.041,-0.032,-0.002,0.048,0.069,-0.029,-0.046,-0.007,-0.004,-0.002,-0.011,0.017,1
2012-Aug,0.046,-0.022,-0.022,-0.091,-0.043,-0.035,0.11,-0.008,0.028,-0.062,-0.041,-0.032,-0.002,0.048,0.005,-0.029,-0.046,-0.007,-0.004,-0.002,-0.011,1
2012-Sep,0.171,0.046,-0.022,-0.022,-0.091,-0.043,-0.035,0.086,-0.008,0.028,-0.062,-0.041,-0.032,-0.002,0.002,0.005,-0.029,-0.046,-0.007,-0.004,-0.002,0
2012-Oct,-0.013,0.171,0.046,-0.022,-0.022,-0.091,-0.043,-0.01,0.086,-0.008,0.028,-0.062,-0.041,-0.032,-0.038,0.002,0.005,-0.029,-0.046,-0.007,-0.004,0
2012-Nov,-0.012,-0.013,0.171,0.046,-0.022,-0.022,-0.091,-0.045,-0.01,0.086,-0.008,0.028,-0.062,-0.041,0.018,-0.038,0.002,0.005,-0.029,-0.046,-0.007,0
2012-Dec,-0.025,-0.012,-0.013,0.171,0.046,-0.022,-0.022,0.036,-0.045,-0.01,0.086,-0.008,0.028,-0.062,0.006,0.018,-0.038,0.002,0.005,-0.029,-0.046,0
2013-Jan,-0.027,-0.025,-0.012,-0.013,0.171,0.046,-0.022,0.014,0.036,-0.045,-0.01,0.086,-0.008,0.028,-0.01,0.006,0.018,-0.038,0.002,0.005,-0.029,0
2013-Feb,-0.025,-0.027,-0.025,-0.012,-0.013,0.171,0.046,-0.002,0.014,0.036,-0.045,-0.01,0.086,-0.008,-0.009,-0.01,0.006,0.018,-0.038,0.002,0.005,0
2013-Mar,-0.05,-0.025,-0.027,-0.025,-0.012,-0.013,0.171,-0.053,-0.002,0.014,0.036,-0.045,-0.01,0.086,0.012,-0.009,-0.01,0.006,0.018,-0.038,0.002,1
2013-Apr,-0.125,-0.05,-0.025,-0.027,-0.025,-0.012,-0.013,-0.058,-0.053,-0.002,0.014,0.036,-0.045,-0.01,-0.003,0.012,-0.009,-0.01,0.006,0.018,-0.038,1
2013-May,-0.087,-0.125,-0.05,-0.025,-0.027,-0.025,-0.012,0.007,-0.058,-0.053,-0.002,0.014,0.036,-0.045,-0.021,-0.003,0.012,-0.009,-0.01,0.006,0.018,1
2013-Jun,-0.083,-0.087,-0.125,-0.05,-0.025,-0.027,-0.025,-0.036,0.007,-0.058,-0.053,-0.002,0.014,0.036,-0.005,-0.021,-0.003,0.012,-0.009,-0.01,0.006,1
2013-Jul,-0.066,-0.083,-0.087,-0.125,-0.05,-0.025,-0.027,-0.014,-0.036,0.007,-0.058,-0.053,-0.002,0.014,0.014,-0.005,-0.021,-0.003,0.012,-0.009,-0.01,1
2013-Aug,0.108,-0.066,-0.083,-0.087,-0.125,-0.05,-0.025,0.046,-0.014,-0.036,0.007,-0.058,-0.053,-0.002,0,0.014,-0.005,-0.021,-0.003,0.012,-0.009,0
2013-Sep,0.033,0.108,-0.066,-0.083,-0.087,-0.125,-0.05,-0.003,0.046,-0.014,-0.036,0.007,-0.058,-0.053,-0.006,0,0.014,-0.005,-0.021,-0.003,0.012,0
2013-Oct,-0.029,0.033,0.108,-0.066,-0.083,-0.087,-0.125,0.005,-0.003,0.046,-0.014,-0.036,0.007,-0.058,0.004,-0.006,0,0.014,-0.005,-0.021,-0.003,0
2013-Nov,-0.053,-0.029,0.033,0.108,-0.066,-0.083,-0.087,-0.023,0.005,-0.003,0.046,-0.014,-0.036,0.007,0.018,0.004,-0.006,0,0.014,-0.005,-0.021,0
2013-Dec,-0.055,-0.053,-0.029,0.033,0.108,-0.066,-0.083,0.034,-0.023,0.005,-0.003,0.046,-0.014,-0.036,0.016,0.018,0.004,-0.006,0,0.014,-0.005,0
2014-Jan,0.015,-0.055,-0.053,-0.029,0.033,0.108,-0.066,-0.002,0.034,-0.023,0.005,-0.003,0.046,-0.014,0.024,0.016,0.018,0.004,-0.006,0,0.014,1
2014-Feb,0.046,0.015,-0.055,-0.053,-0.029,0.033,0.108,-0.022,-0.002,0.034,-0.023,0.005,-0.003,0.046,-0.013,0.024,0.016,0.018,0.004,-0.006,0,1
