YR-MON,Silver,Silver-1,Silver-2,Silver-3,Silver-4,Silver-5,Silver-6,Copper,Copper-1,Copper-2,Copper-3,Copper-4,Copper-5,Copper-6,Steel,Steel-1,Steel-2,Steel-3,Steel-4,Steel-5,Steel-6,PriceIncrDate
2020-Jun,0.092,0.08,0.008,-0.168,-0.002,0.05,-0.004,0.091,0.04,-0.028,-0.086,-0.061,-0.008,0.041,0,-0.006,-0.028,0.007,-0.014,0.023,0.011,1
2020-Jul,0.152,0.092,0.08,0.008,-0.168,-0.002,0.05,0.109,0.091,0.04,-0.028,-0.086,-0.061,-0.008,-0.013,0,-0.006,-0.028,0.007,-0.014,0.023,0
2020-Aug,0.318,0.152,0.092,0.08,0.008,-0.168,-0.002,0.015,0.109,0.091,0.04,-0.028,-0.086,-0.061,-0.002,-0.013,0,-0.006,-0.028,0.007,-0.014,0
2020-Sep,-0.037,0.318,0.152,0.092,0.08,0.008,-0.168,0.036,0.015,0.109,0.091,0.04,-0.028,-0.086,0.024,-0.002,-0.013,0,-0.006,-0.028,0.007,0
2020-Oct,-0.063,-0.037,0.318,0.152,0.092,0.08,0.008,0.01,0.036,0.015,0.109,0.091,0.04,-0.028,0.011,0.024,-0.002,-0.013,0,-0.006,-0.028,0
2020-Nov,-0.008,-0.063,-0.037,0.318,0.152,0.092,0.08,0.048,0.01,0.036,0.015,0.109,0.091,0.04,0.018,0.011,0.024,-0.002,-0.013,0,-0.006,0
2020-Dec,0.035,-0.008,-0.063,-0.037,0.318,0.152,0.092,0.103,0.048,0.01,0.036,0.015,0.109,0.091,0.073,0.018,0.011,0.024,-0.002,-0.013,0,0
2021-Jan,0.041,0.035,-0.008,-0.063,-0.037,0.318,0.152,0.024,0.103,0.048,0.01,0.036,0.015,0.109,0.082,0.073,0.018,0.011,0.024,-0.002,-0.013,0
2021-Feb,0.056,0.041,0.035,-0.008,-0.063,-0.037,0.318,0.064,0.024,0.103,0.048,0.01,0.036,0.015,0.041,0.082,0.073,0.018,0.011,0.024,-0.002,0
2021-Mar,-0.064,0.056,0.041,0.035,-0.008,-0.063,-0.037,0.06,0.064,0.024,0.103,0.048,0.01,0.036,0.135,0.041,0.082,0.073,0.018,0.011,0.024,0
